store,address,위도,경도
서강대흥역,서울특별시 마포구 백범로 89-5 (대흥동),37.548178,126.941576
서교동사거리,서울특별시 마포구 양화로 105 (서교동),37.553376,126.918564
상암사보이시티,서울특별시 마포구 월드컵북로54길 17 (상암동),37.58147,126.888983
신촌오거리,서울특별시 마포구 신촌로16길 10 (노고산동),37.555137,126.934694
상암디지털큐브,서울특별시 마포구 상암산로 34,37.5763132,126.8892477
상수역,서울특별시 마포구 독막로 88 (상수동),37.5474817,126.9232158
공덕오거리,서울특별시 마포구 마포대로 86 (도화동) 창강빌딩,37.5424641,126.9505773
서교,서울특별시 마포구 양화로 78 (서교동) 서교빌딩 1층,37.551385,126.9169208
서강대,서울특별시 마포구 백범로 23 (신수동),37.5524584,126.9378262
상암MBC,서울특별시 마포구 성암로 267 (상암동),37.581297,126.890908
홍대역,"서울특별시 마포구 양화로 165, 상진빌딩 1층 (동교동)",37.557175,126.923654
동교,"서울특별시 마포구 월드컵북로 22, 영준빌딩 1층 (동교동)",37.556928,126.919819
애오개역,"서울특별시 마포구 마포대로 201, 마포트라팰리스II (아현동)",37.55218737,126.9555203
홍대갤러리,"서울특별시 마포구 와우산로 101, 정명빌딩 (서교동)",37.55328184,126.9248279
상암DMC,"서울특별시 마포구 월드컵북로 375, DMC이안오피스텔1단지 102호,202호 (상암동)",37.577623,126.890684
마포일진빌딩,"서울특별시 마포구 마포대로 45, 일진빌딩 1층 (도화동)",37.54043451,126.9463168
마포아크로,서울특별시 마포구 마포대로 68 (도화동) 마포아크로타워,37.54145556,126.948819
홍대삼거리,서울특별시 마포구 와우산로 64 (상수동),37.550266,126.923179
